responseTime,trial,targetWord,chosenWord,chosenCategory,chosenPosition,subjID,order,correct,german,aoa_german_comb,group,sex,age,age_group,source
2586,13,fryingpan,fryingpan,target,upper-left,15X7mwV1,orderB,1,pfanne,4.16,middle,f,5.683778234086242,5,new items
3101,14,carrot,carrot,target,lower-right,15X7mwV1,orderB,1,möhre,3.36,low,f,5.683778234086242,5,original CLT items
3327,15,plane,plane,target,lower-left,15X7mwV1,orderB,1,flugzeug,3.24,low,f,5.683778234086242,5,new items
2886,16,tiger,tiger,target,upper-right,15X7mwV1,orderB,1,tiger,3.88,middle,f,5.683778234086242,5,original CLT items
2675,17,snake,snake,target,upper-left,15X7mwV1,orderB,1,schlange,2,low,f,5.683778234086242,5,original CLT items
4734,18,apple,apple,target,upper-left,15X7mwV1,orderB,1,apfel,2.71,low,f,5.683778234086242,5,original CLT items
7972,19,battery,battery,target,lower-right,15X7mwV1,orderB,1,batterie,5.94,middle,f,5.683778234086242,5,original CLT items
3443,20,flag,flag,target,lower-right,15X7mwV1,orderB,1,flagge,5.86,middle,f,5.683778234086242,5,original CLT items
8567,21,ladder,ladder,target,upper-right,15X7mwV1,orderB,1,leiter,4.47,middle,f,5.683778234086242,5,original CLT items
4928,22,fish,fish,target,lower-left,15X7mwV1,orderB,1,fisch,2.76,low,f,5.683778234086242,5,original CLT items
3544,23,giraffe,giraffe,target,upper-left,15X7mwV1,orderB,1,giraffe,3.79,middle,f,5.683778234086242,5,original CLT items
3546,24,ant,ant,target,upper-right,15X7mwV1,orderB,1,ameise,4.6,middle,f,5.683778234086242,5,original CLT items
3868,25,bicycle,bicycle,target,upper-right,15X7mwV1,orderB,1,fahrrad,3.8,middle,f,5.683778234086242,5,original CLT items
8960,26,ruin,ruin,target,lower-right,15X7mwV1,orderB,1,ruine,6.21,high,f,5.683778234086242,5,new items
16724,27,choir,choir,target,upper-right,15X7mwV1,orderB,1,chor,7.19,high,f,5.683778234086242,5,new items
7561,28,pineapple,pineapple,target,lower-right,15X7mwV1,orderB,1,ananas,4.1,middle,f,5.683778234086242,5,original CLT items
7418,29,zebra,zebra,target,upper-right,15X7mwV1,orderB,1,zebra,3.65,middle,f,5.683778234086242,5,original CLT items
2704,30,belt,belt,target,lower-right,15X7mwV1,orderB,1,gürtel,4.11,middle,f,5.683778234086242,5,original CLT items
2784,31,mushroom,mushroom,target,lower-right,15X7mwV1,orderB,1,pilz,3.67,middle,f,5.683778234086242,5,original CLT items
4340,32,elk,elk,target,upper-left,15X7mwV1,orderB,1,elch,6.28,high,f,5.683778234086242,5,new items
2876,33,needle,needle,target,upper-left,15X7mwV1,orderB,1,nadel,4.22,middle,f,5.683778234086242,5,original CLT items
4690,34,arugula,arugula,target,lower-right,15X7mwV1,orderB,1,rucola,6.18,high,f,5.683778234086242,5,new items
3179,35,palmtree,palmtree,target,lower-left,15X7mwV1,orderB,1,palme,6.57,high,f,5.683778234086242,5,new items
2908,36,kangaroo,kangaroo,target,lower-left,15X7mwV1,orderB,1,känguru,5.89,middle,f,5.683778234086242,5,original CLT items
7149,37,gazelle,gazelle,target,lower-right,15X7mwV1,orderB,1,gazelle,6.31,high,f,5.683778234086242,5,new items
4268,38,badger,badger,target,lower-left,15X7mwV1,orderB,1,dachs,6.17,high,f,5.683778234086242,5,new items
11354,39,chanterelle,chanterelle,target,upper-left,15X7mwV1,orderB,1,pfifferling,7.13,high,f,5.683778234086242,5,new items
9554,40,orchid,orchid,target,lower-left,15X7mwV1,orderB,1,orchidee,9.76,high,f,5.683778234086242,5,new items
4911,41,carnation,carnation,target,upper-right,15X7mwV1,orderB,1,nelke,7.82,high,f,5.683778234086242,5,new items
9896,42,ventilator,ventilator,target,upper-right,15X7mwV1,orderB,1,ventilator,6.59,high,f,5.683778234086242,5,new items
9502,43,labyrinth,labyrinth,target,lower-left,15X7mwV1,orderB,1,labyrinth,6.63,high,f,5.683778234086242,5,new items
7272,44,ocean,river,dist1,lower-left,15X7mwV1,orderB,0,ozean,6.46,high,f,5.683778234086242,5,new items
5250,45,lobster,lobster,target,upper-right,15X7mwV1,orderB,1,hummer,8,high,f,5.683778234086242,5,new items
7330,46,cello,harp,dist1,lower-right,15X7mwV1,orderB,0,cello,8.67,high,f,5.683778234086242,5,new items
33036,47,kayak,kayak,target,upper-left,15X7mwV1,orderB,1,kajak,8.82,high,f,5.683778234086242,5,new items
3901,48,ruler,ruler,target,lower-left,15X7mwV1,orderB,1,lineal,4.9,middle,f,5.683778234086242,5,original CLT items
4252,49,jaguar,panther,dist1,lower-left,15X7mwV1,orderB,0,jaguar,7.64,high,f,5.683778234086242,5,new items
6546,50,flounder,elderberry,dist2,upper-left,15X7mwV1,orderB,0,flunder,6.95,high,f,5.683778234086242,5,new items
3671,51,satellite,cell,dist3,lower-left,15X7mwV1,orderB,0,satellit,8.94,high,f,5.683778234086242,5,new items
8225,52,zucchini,zucchini,target,upper-right,15X7mwV1,orderB,1,zucchini,5.95,middle,f,5.683778234086242,5,new items
8431,1,squirrel,squirrel,target,lower-left,17ybrhrW,orderA,1,eichhörnchen,2.6,low,f,6.885694729637235,6,original CLT items
8165,2,cap,cap,target,upper-right,17ybrhrW,orderA,1,mütze,1.95,low,f,6.885694729637235,6,original CLT items
6459,3,door,door,target,lower-left,17ybrhrW,orderA,1,tür,3.12,low,f,6.885694729637235,6,original CLT items
5646,4,stairs,stairs,target,lower-right,17ybrhrW,orderA,1,treppe,3.25,low,f,6.885694729637235,6,original CLT items
9343,5,desk,desk,target,lower-left,17ybrhrW,orderA,1,schreibtisch,3.2,low,f,6.885694729637235,6,original CLT items
8342,6,strawberry,strawberry,target,upper-left,17ybrhrW,orderA,1,erdbeere,3.47,low,f,6.885694729637235,6,original CLT items
5528,7,eye,eye,target,upper-left,17ybrhrW,orderA,1,auge,2.69,low,f,6.885694729637235,6,original CLT items
4018,8,plane,plane,target,lower-left,17ybrhrW,orderA,1,flugzeug,3.24,low,f,6.885694729637235,6,new items
3775,9,paintbrush,paintbrush,target,lower-left,17ybrhrW,orderA,1,pinsel,3.43,low,f,6.885694729637235,6,original CLT items
5471,10,telephone,telephone,target,upper-right,17ybrhrW,orderA,1,telefon,3.53,middle,f,6.885694729637235,6,original CLT items
6958,11,snake,snake,target,upper-left,17ybrhrW,orderA,1,schlange,2,low,f,6.885694729637235,6,original CLT items
9335,12,carrot,carrot,target,lower-right,17ybrhrW,orderA,1,möhre,3.36,low,f,6.885694729637235,6,original CLT items
4386,13,star,star,target,upper-left,17ybrhrW,orderA,1,stern,3.29,low,f,6.885694729637235,6,original CLT items
4043,14,scissors,scissors,target,upper-right,17ybrhrW,orderA,1,schere,3.38,low,f,6.885694729637235,6,original CLT items
4388,15,tiger,tiger,target,upper-right,17ybrhrW,orderA,1,tiger,3.88,middle,f,6.885694729637235,6,original CLT items
3853,16,bone,bone,target,lower-right,17ybrhrW,orderA,1,knochen,4.64,middle,f,6.885694729637235,6,original CLT items
4516,17,apple,apple,target,upper-left,17ybrhrW,orderA,1,apfel,2.71,low,f,6.885694729637235,6,original CLT items
3545,18,fish,fish,target,lower-left,17ybrhrW,orderA,1,fisch,2.76,low,f,6.885694729637235,6,original CLT items
5857,19,ant,ant,target,upper-right,17ybrhrW,orderA,1,ameise,4.6,middle,f,6.885694729637235,6,original CLT items
3220,20,belt,belt,target,lower-right,17ybrhrW,orderA,1,gürtel,4.11,middle,f,6.885694729637235,6,original CLT items
8219,21,fryingpan,fryingpan,target,upper-left,17ybrhrW,orderA,1,pfanne,4.16,middle,f,6.885694729637235,6,new items
8104,22,zebra,zebra,target,upper-right,17ybrhrW,orderA,1,zebra,3.65,middle,f,6.885694729637235,6,original CLT items
6600,23,needle,needle,target,upper-left,17ybrhrW,orderA,1,nadel,4.22,middle,f,6.885694729637235,6,original CLT items
8716,24,bicycle,bicycle,target,upper-right,17ybrhrW,orderA,1,fahrrad,3.8,middle,f,6.885694729637235,6,original CLT items
6433,25,ladder,ladder,target,upper-right,17ybrhrW,orderA,1,leiter,4.47,middle,f,6.885694729637235,6,original CLT items
5963,26,battery,battery,target,lower-right,17ybrhrW,orderA,1,batterie,5.94,middle,f,6.885694729637235,6,original CLT items
8554,27,elk,elk,target,upper-left,17ybrhrW,orderA,1,elch,6.28,high,f,6.885694729637235,6,new items
19060,28,choir,choir,target,upper-right,17ybrhrW,orderA,1,chor,7.19,high,f,6.885694729637235,6,new items
3051,29,kangaroo,kangaroo,target,lower-left,17ybrhrW,orderA,1,känguru,5.89,middle,f,6.885694729637235,6,original CLT items
6892,30,ventilator,ventilator,target,upper-right,17ybrhrW,orderA,1,ventilator,6.59,high,f,6.885694729637235,6,new items
5046,31,arugula,arugula,target,lower-right,17ybrhrW,orderA,1,rucola,6.18,high,f,6.885694729637235,6,new items
4914,32,flag,flag,target,lower-right,17ybrhrW,orderA,1,flagge,5.86,middle,f,6.885694729637235,6,original CLT items
3382,33,giraffe,giraffe,target,upper-left,17ybrhrW,orderA,1,giraffe,3.79,middle,f,6.885694729637235,6,original CLT items
5877,34,palmtree,palmtree,target,lower-left,17ybrhrW,orderA,1,palme,6.57,high,f,6.885694729637235,6,new items
3079,35,pineapple,watermelon,dist1,lower-left,17ybrhrW,orderA,0,ananas,4.1,middle,f,6.885694729637235,6,original CLT items
46254,36,ocean,ocean,target,upper-left,17ybrhrW,orderA,1,ozean,6.46,high,f,6.885694729637235,6,new items
4559,37,gazelle,gazelle,target,lower-right,17ybrhrW,orderA,1,gazelle,6.31,high,f,6.885694729637235,6,new items
10289,38,ruler,ruler,target,lower-left,17ybrhrW,orderA,1,lineal,4.9,middle,f,6.885694729637235,6,original CLT items
3058,39,badger,badger,target,lower-left,17ybrhrW,orderA,1,dachs,6.17,high,f,6.885694729637235,6,new items
5518,40,chanterelle,chanterelle,target,upper-left,17ybrhrW,orderA,1,pfifferling,7.13,high,f,6.885694729637235,6,new items
4568,41,ruin,ruin,target,lower-right,17ybrhrW,orderA,1,ruine,6.21,high,f,6.885694729637235,6,new items
4879,42,labyrinth,labyrinth,target,lower-left,17ybrhrW,orderA,1,labyrinth,6.63,high,f,6.885694729637235,6,new items
3880,43,mushroom,mushroom,target,lower-right,17ybrhrW,orderA,1,pilz,3.67,middle,f,6.885694729637235,6,original CLT items
10559,44,orchid,orchid,target,lower-left,17ybrhrW,orderA,1,orchidee,9.76,high,f,6.885694729637235,6,new items
4526,45,zucchini,zucchini,target,upper-right,17ybrhrW,orderA,1,zucchini,5.95,middle,f,6.885694729637235,6,new items
9157,46,kayak,kayak,target,upper-left,17ybrhrW,orderA,1,kajak,8.82,high,f,6.885694729637235,6,new items
5525,47,lobster,lobster,target,upper-right,17ybrhrW,orderA,1,hummer,8,high,f,6.885694729637235,6,new items
35017,48,jaguar,jaguar,target,lower-right,17ybrhrW,orderA,1,jaguar,7.64,high,f,6.885694729637235,6,new items
16198,49,carnation,violets,dist1,lower-right,17ybrhrW,orderA,0,nelke,7.82,high,f,6.885694729637235,6,new items
11265,50,satellite,meteorid,dist2,lower-right,17ybrhrW,orderA,0,satellit,8.94,high,f,6.885694729637235,6,new items
5107,51,flounder,elderberry,dist2,upper-left,17ybrhrW,orderA,0,flunder,6.95,high,f,6.885694729637235,6,new items
25660,52,cello,cello,target,lower-left,17ybrhrW,orderA,1,cello,8.67,high,f,6.885694729637235,6,new items
6774,1,squirrel,squirrel,target,lower-left,18X9TEt7,orderA,1,eichhörnchen,2.6,low,m,5.834360027378508,5,original CLT items
4623,2,cap,cap,target,upper-right,18X9TEt7,orderA,1,mütze,1.95,low,m,5.834360027378508,5,original CLT items
3747,3,door,door,target,lower-left,18X9TEt7,orderA,1,tür,3.12,low,m,5.834360027378508,5,original CLT items
4177,4,stairs,stairs,target,lower-right,18X9TEt7,orderA,1,treppe,3.25,low,m,5.834360027378508,5,original CLT items
4762,5,desk,desk,target,lower-left,18X9TEt7,orderA,1,schreibtisch,3.2,low,m,5.834360027378508,5,original CLT items
3289,6,strawberry,strawberry,target,upper-left,18X9TEt7,orderA,1,erdbeere,3.47,low,m,5.834360027378508,5,original CLT items
2619,7,eye,eye,target,upper-left,18X9TEt7,orderA,1,auge,2.69,low,m,5.834360027378508,5,original CLT items
2836,8,plane,plane,target,lower-left,18X9TEt7,orderA,1,flugzeug,3.24,low,m,5.834360027378508,5,new items
2794,9,paintbrush,paintbrush,target,lower-left,18X9TEt7,orderA,1,pinsel,3.43,low,m,5.834360027378508,5,original CLT items
2585,10,telephone,telephone,target,upper-right,18X9TEt7,orderA,1,telefon,3.53,middle,m,5.834360027378508,5,original CLT items
2197,11,snake,snake,target,upper-left,18X9TEt7,orderA,1,schlange,2,low,m,5.834360027378508,5,original CLT items
3371,12,carrot,carrot,target,lower-right,18X9TEt7,orderA,1,möhre,3.36,low,m,5.834360027378508,5,original CLT items
2697,13,star,star,target,upper-left,18X9TEt7,orderA,1,stern,3.29,low,m,5.834360027378508,5,original CLT items
3146,14,scissors,scissors,target,upper-right,18X9TEt7,orderA,1,schere,3.38,low,m,5.834360027378508,5,original CLT items
2212,15,tiger,tiger,target,upper-right,18X9TEt7,orderA,1,tiger,3.88,middle,m,5.834360027378508,5,original CLT items
2794,16,bone,bone,target,lower-right,18X9TEt7,orderA,1,knochen,4.64,middle,m,5.834360027378508,5,original CLT items
3966,17,apple,apple,target,upper-left,18X9TEt7,orderA,1,apfel,2.71,low,m,5.834360027378508,5,original CLT items
2541,18,fish,fish,target,lower-left,18X9TEt7,orderA,1,fisch,2.76,low,m,5.834360027378508,5,original CLT items
4350,19,ant,ant,target,upper-right,18X9TEt7,orderA,1,ameise,4.6,middle,m,5.834360027378508,5,original CLT items
4603,20,belt,belt,target,lower-right,18X9TEt7,orderA,1,gürtel,4.11,middle,m,5.834360027378508,5,original CLT items
6045,21,fryingpan,fryingpan,target,upper-left,18X9TEt7,orderA,1,pfanne,4.16,middle,m,5.834360027378508,5,new items
4667,22,zebra,zebra,target,upper-right,18X9TEt7,orderA,1,zebra,3.65,middle,m,5.834360027378508,5,original CLT items
10881,23,needle,needle,target,upper-left,18X9TEt7,orderA,1,nadel,4.22,middle,m,5.834360027378508,5,original CLT items
3820,24,bicycle,bicycle,target,upper-right,18X9TEt7,orderA,1,fahrrad,3.8,middle,m,5.834360027378508,5,original CLT items
3580,25,ladder,ladder,target,upper-right,18X9TEt7,orderA,1,leiter,4.47,middle,m,5.834360027378508,5,original CLT items
3494,26,battery,battery,target,lower-right,18X9TEt7,orderA,1,batterie,5.94,middle,m,5.834360027378508,5,original CLT items
19029,27,elk,goblet,dist2,lower-right,18X9TEt7,orderA,0,elch,6.28,high,m,5.834360027378508,5,new items
14247,28,choir,choir,target,upper-right,18X9TEt7,orderA,1,chor,7.19,high,m,5.834360027378508,5,new items
2981,29,kangaroo,kangaroo,target,lower-left,18X9TEt7,orderA,1,känguru,5.89,middle,m,5.834360027378508,5,original CLT items
3906,30,ventilator,ventilator,target,upper-right,18X9TEt7,orderA,1,ventilator,6.59,high,m,5.834360027378508,5,new items
9752,31,arugula,brusselsprouts,dist1,lower-left,18X9TEt7,orderA,0,rucola,6.18,high,m,5.834360027378508,5,new items
2788,32,flag,flag,target,lower-right,18X9TEt7,orderA,1,flagge,5.86,middle,m,5.834360027378508,5,original CLT items
3686,33,giraffe,giraffe,target,upper-left,18X9TEt7,orderA,1,giraffe,3.79,middle,m,5.834360027378508,5,original CLT items
8075,34,palmtree,drinkingstraws,dist2,lower-right,18X9TEt7,orderA,0,palme,6.57,high,m,5.834360027378508,5,new items
2445,35,pineapple,pineapple,target,lower-right,18X9TEt7,orderA,1,ananas,4.1,middle,m,5.834360027378508,5,original CLT items
6714,36,ocean,pelican,dist2,lower-right,18X9TEt7,orderA,0,ozean,6.46,high,m,5.834360027378508,5,new items
5141,37,gazelle,dragonfly,dist2,upper-left,18X9TEt7,orderA,0,gazelle,6.31,high,m,5.834360027378508,5,new items
6677,38,ruler,ruler,target,lower-left,18X9TEt7,orderA,1,lineal,4.9,middle,m,5.834360027378508,5,original CLT items
8914,39,badger,badger,target,lower-left,18X9TEt7,orderA,1,dachs,6.17,high,m,5.834360027378508,5,new items
19382,40,chanterelle,chanterelle,target,upper-left,18X9TEt7,orderA,1,pfifferling,7.13,high,m,5.834360027378508,5,new items
6671,41,ruin,ruin,target,lower-right,18X9TEt7,orderA,1,ruine,6.21,high,m,5.834360027378508,5,new items
4416,42,labyrinth,labyrinth,target,lower-left,18X9TEt7,orderA,1,labyrinth,6.63,high,m,5.834360027378508,5,new items
24095,43,mushroom,mushroom,target,lower-right,18X9TEt7,orderA,1,pilz,3.67,middle,m,5.834360027378508,5,original CLT items
13724,44,orchid,banner,dist3,lower-right,18X9TEt7,orderA,0,orchidee,9.76,high,m,5.834360027378508,5,new items
4034,45,zucchini,zucchini,target,upper-right,18X9TEt7,orderA,1,zucchini,5.95,middle,m,5.834360027378508,5,new items
4162,46,kayak,kayak,target,upper-left,18X9TEt7,orderA,1,kajak,8.82,high,m,5.834360027378508,5,new items
3404,47,lobster,lobster,target,upper-right,18X9TEt7,orderA,1,hummer,8,high,m,5.834360027378508,5,new items
6194,48,jaguar,panther,dist1,lower-left,18X9TEt7,orderA,0,jaguar,7.64,high,m,5.834360027378508,5,new items
20141,49,carnation,carnation,target,upper-right,18X9TEt7,orderA,1,nelke,7.82,high,m,5.834360027378508,5,new items
9197,50,satellite,meteorid,dist2,lower-right,18X9TEt7,orderA,0,satellit,8.94,high,m,5.834360027378508,5,new items
8024,51,flounder,flounder,target,lower-right,18X9TEt7,orderA,1,flunder,6.95,high,m,5.834360027378508,5,new items
4279,52,cello,marshmallow,dist2,upper-right,18X9TEt7,orderA,0,cello,8.67,high,m,5.834360027378508,5,new items
7687,1,squirrel,squirrel,target,lower-left,1aaesBEa,orderA,1,eichhörnchen,2.6,low,f,7.756331279945243,7,original CLT items
7271,2,cap,cap,target,upper-right,1aaesBEa,orderA,1,mütze,1.95,low,f,7.756331279945243,7,original CLT items
4122,3,door,door,target,lower-left,1aaesBEa,orderA,1,tür,3.12,low,f,7.756331279945243,7,original CLT items
3793,4,stairs,stairs,target,lower-right,1aaesBEa,orderA,1,treppe,3.25,low,f,7.756331279945243,7,original CLT items
4600,5,desk,desk,target,lower-left,1aaesBEa,orderA,1,schreibtisch,3.2,low,f,7.756331279945243,7,original CLT items
3441,6,strawberry,strawberry,target,upper-left,1aaesBEa,orderA,1,erdbeere,3.47,low,f,7.756331279945243,7,original CLT items
3291,7,eye,eye,target,upper-left,1aaesBEa,orderA,1,auge,2.69,low,f,7.756331279945243,7,original CLT items
4026,8,plane,plane,target,lower-left,1aaesBEa,orderA,1,flugzeug,3.24,low,f,7.756331279945243,7,new items
2073,9,paintbrush,paintbrush,target,lower-left,1aaesBEa,orderA,1,pinsel,3.43,low,f,7.756331279945243,7,original CLT items
3053,10,telephone,telephone,target,upper-right,1aaesBEa,orderA,1,telefon,3.53,middle,f,7.756331279945243,7,original CLT items
3478,11,snake,snake,target,upper-left,1aaesBEa,orderA,1,schlange,2,low,f,7.756331279945243,7,original CLT items
2300,12,carrot,carrot,target,lower-right,1aaesBEa,orderA,1,möhre,3.36,low,f,7.756331279945243,7,original CLT items
3443,13,star,star,target,upper-left,1aaesBEa,orderA,1,stern,3.29,low,f,7.756331279945243,7,original CLT items
4025,14,scissors,scissors,target,upper-right,1aaesBEa,orderA,1,schere,3.38,low,f,7.756331279945243,7,original CLT items
2492,15,tiger,tiger,target,upper-right,1aaesBEa,orderA,1,tiger,3.88,middle,f,7.756331279945243,7,original CLT items
2186,16,bone,bone,target,lower-right,1aaesBEa,orderA,1,knochen,4.64,middle,f,7.756331279945243,7,original CLT items
6184,17,apple,apple,target,upper-left,1aaesBEa,orderA,1,apfel,2.71,low,f,7.756331279945243,7,original CLT items
5737,18,fish,fish,target,lower-left,1aaesBEa,orderA,1,fisch,2.76,low,f,7.756331279945243,7,original CLT items
